Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Michelle Betos,18.0,us USA,GK,28-204,90,,,,,,,,,0,0,,,,,,,
Lindsey Heaps,7.0,us USA,"FW,MF",22-108,66,0.0,0.0,,,1.0,1.0,,,0,2,0.0,,,,,,
Dagný Brynjarsdóttir,11.0,is ISL,MF,25-032,24,1.0,0.0,,,1.0,1.0,,,0,0,0.0,,,,,,
Tobin Heath,17.0,us USA,"FW,MF",28-105,90,0.0,1.0,,,1.0,1.0,,,2,2,1.0,,,,,,
Amandine Henry,28.0,fr FRA,MF,26-349,90,0.0,0.0,,,1.0,0.0,,,2,0,0.0,,,,,,
Meghan Klingenberg,25.0,us USA,"DF,MF",28-040,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Allie Long,10.0,us USA,"FW,MF",29-029,90,0.0,0.0,,,1.0,0.0,,,1,2,1.0,,,,,,
Emily Menges,4.0,us USA,DF,24-045,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Nadia Nadim,9.0,dk DEN,"FW,MF",28-253,59,1.0,0.0,,,2.0,1.0,,,1,1,1.0,,,,,,
Hayley Raso,21.0,au AUS,"FW,MF",22-006,31,0.0,0.0,,,0.0,0.0,,,1,1,0.0,,,,,,
Katherine Reynolds,2.0,us USA,DF,28-363,90,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
Christine Sinclair,12.0,ca CAN,"FW,MF",33-091,90,1.0,0.0,,,2.0,1.0,,,1,2,3.0,,,,,,
Emily Sonnett,16.0,us USA,"DF,MF",22-291,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
13 Players,,,,,990,3.0,1.0,,,9.0,5.0,,,9,10,6.0,,,,,,
