Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Beverly Yanez,17.0,us USA,FW,28-277,68,1,0,0,0,,,0,0,,,,,,,0,,
Katie Johnson,33.0,mx MEX,"FW,MF",22-220,22,1,0,0,0,,,0,0,,,,,,,0,,
Megan Rapinoe,15.0,us USA,FW,31-291,90,1,0,0,0,,,0,0,,,,,,,0,,
Nahomi Kawasumi,36.0,jp JPN,FW,31-211,90,0,0,0,0,,,0,0,,,,,,,0,,
Christine Nairn,2.0,us USA,CM,26-209,90,0,1,0,0,,,0,0,,,,,,,0,,
Rumi Utsugi,20.0,jp JPN,CM,28-138,75,0,0,0,0,,,0,0,,,,,,,0,,
Rachel Corsie,4.0,sct SCO,"DF,MF",27-248,15,0,0,0,0,,,1,0,,,,,,,0,,
Jess Fishlock,10.0,wls WAL,CM,30-098,90,1,1,0,0,,,0,0,,,,,,,0,,
Carson Pickett,16.0,us USA,LB,23-219,90,0,0,0,0,,,0,0,,,,,,,0,,
Lauren Barnes,3.0,us USA,CB,27-326,90,0,0,0,0,,,0,0,,,,,,,0,,
Kristen McNabb,19.0,us USA,CB,23-005,90,1,0,0,0,,,0,0,,,,,,,0,,
Merritt Mathias,9.0,us USA,RB,26-294,42,0,0,0,0,,,0,0,,,,,,,0,,
Rebekah Stott,13.0,nz NZL,"DF,MF",23-309,48,0,0,0,0,,,0,0,,,,,,,0,,
Haley Kopmeyer,28.0,us USA,GK,26-298,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,5,2,0,0,,,1,0,,,,,,,0,,
