Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Brittany Cameron,,us USA,GK,28-247,90,0,0,0,0,,,0,0,,,,,,,0,,
Lindsi Cutshall,,us USA,DF,24-293,90,0,0,0,0,,,0,0,,,,,,,0,,
Caitlin Foord,,au AUS,"DF,FW",20-269,90,0,0,0,0,,,0,0,,,,,,,0,,
Katy Freels,,us USA,MF,25-121,82,0,0,0,0,,,0,0,,,,,,,0,,
Taylor Lytle,,us USA,MF,26-129,8,0,0,0,0,,,0,0,,,,,,,0,,
Sam Kerr,,au AUS,"FW,MF",21-331,90,1,0,0,0,,,0,0,,,,,,,0,,
Camille Levin,,us USA,DF,25-105,90,0,1,0,0,,,0,0,,,,,,,0,,
Nadia Nadim,,dk DEN,"FW,MF",27-217,90,1,0,0,0,,,0,0,,,,,,,0,,
Kelley O'Hara,,us USA,"DF,FW",27-003,90,0,0,0,0,,,0,0,,,,,,,0,,
Christie Pearce,,us USA,DF,40-044,90,0,0,0,0,,,0,0,,,,,,,0,,
Nikki Stanton,,us USA,MF,24-285,90,0,0,0,0,,,0,0,,,,,,,0,,
Sarah Woldmoe,,us USA,MF,23-011,90,0,0,0,0,,,1,0,,,,,,,0,,
12 Players,,,,,990,2,1,0,0,,,1,0,,,,,,,0,,
