Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Sydney Leroux,14.0,us USA,FW,27-098,90,0,0,0,0,,,0,0,,,,,,,0,,
Brittany Ratcliffe,25.0,us USA,AM,23-187,84,0,0,0,0,,,0,0,,,,,,,0,,
Maegan Rosa,44.0,ca CAN,MF,25-175,6,0,0,0,0,,,0,0,,,,,,,0,,
Shea Groom,2.0,us USA,AM,24-162,89,1,0,0,0,,,0,0,,,,,,,0,,
Erika Tymrak,15.0,us USA,"FW,MF",26-006,1,0,0,0,0,,,0,0,,,,,,,0,,
Lo'eau LaBonta,9.0,us USA,AM,24-148,64,0,0,0,0,,,0,0,,,,,,,0,,
Katie Bowen,6.0,nz NZL,"DF,MF",23-120,26,0,0,0,0,,,0,0,,,,,,,0,,
Christina Gibbons,31.0,us USA,DM,22-226,90,0,0,0,0,,,0,0,,,,,,,0,,
Desiree Scott,11.0,ca CAN,DM,30-013,90,0,0,0,0,,,0,0,,,,,,,0,,
Rebecca Moros,3.0,us USA,LB,32-099,90,0,0,0,0,,,0,0,,,,,,,0,,
Yael Averbuch,10.0,us USA,CB,30-283,90,0,0,0,0,,,0,0,,,,,,,0,,
Becky Sauerbrunn,4.0,us USA,CB,32-068,90,0,1,0,0,,,0,0,,,,,,,0,,
Brittany Kolmel,13.0,us USA,RB,29-329,90,0,0,0,0,,,0,0,,,,,,,0,,
Nicole Barnhart,18.0,us USA,GK,35-307,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,1,1,0,0,,,0,0,,,,,,,0,,
