Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Danesha Adams,9.0,us USA,"FW,MF",26-344,89,0,0,0,0,1,0,0,0,2,0,0,0,,,,,
Maddie Thompson,25.0,us USA,DF,23-022,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Brittany Cameron,1.0,us USA,GK,26-164,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Lisa De Vanna,11.0,au AUS,FW,28-183,90,0,0,0,0,4,2,0,0,2,0,1,0,,,,,
Caitlin Foord,4.0,au AUS,"DF,FW",18-186,90,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Katy Freels,23.0,us USA,MF,23-038,90,0,0,0,0,3,2,0,0,1,1,0,0,,,,,
CoCo Goodson,2.0,us USA,DF,22-331,90,0,0,0,0,0,0,0,0,1,1,0,0,,,,,
Kendall Johnson,5.0,us USA,"DF,MF",22-022,78,0,0,0,0,2,1,0,0,0,1,0,0,,,,,
Taylor Lytle,6.0,us USA,MF,24-046,12,1,0,0,0,1,1,0,0,1,0,0,0,,,,,
Manya Makoski,22.0,us USA,MF,29-028,90,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Kelley O'Hara,19.0,us USA,"DF,FW",24-285,90,0,0,0,0,1,0,0,0,2,0,0,0,,,,,
Christie Pearce,3.0,us USA,DF,37-326,90,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Sophie Schmidt,16.0,ca CAN,MF,24-322,90,0,0,0,0,1,0,0,0,1,0,0,0,,,,,
13 Players,,,,,990,1,0,0,0,13,6,0,0,11,5,1,0,,,,,
