Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Candace Chapman,5.0,ca CAN,DF,30-103,90,0,0,0,0,0,0,0,0,2,0,,0,,,,,
Ashlyn Harris,1.0,us USA,GK,27-268,90,0,0,0,0,0,0,0,0,0,0,,0,,,,,
Tori Huster,23.0,us USA,"DF,MF",23-294,90,0,0,0,0,1,1,0,0,0,0,,0,,,,,
Ali Krieger,11.0,us USA,"DF,MF",28-351,60,0,0,0,0,1,0,0,0,0,1,,0,,,,,
Lupita Worbis,7.0,mx MEX,"FW,MF",29-214,30,0,0,0,0,0,0,0,0,0,0,,0,,,,,
Lori Lindsey,6.0,us USA,MF,33-117,90,0,0,0,0,2,1,0,0,0,0,,0,,,,,
Diana Matheson,8.0,ca CAN,MF,29-099,90,1,0,1,1,2,1,0,0,0,1,,0,,,,,
Stephanie Ochs,22.0,us USA,FW,22-319,90,0,0,0,0,3,1,0,0,2,0,,0,,,,,
Conny Pohlers,16.0,de GER,FW,34-240,78,0,0,0,0,2,2,0,0,0,0,,0,,,,,
Holly King,20.0,us USA,MF,22-123,12,0,0,0,0,0,0,0,0,0,0,,0,,,,,
Toni Pressley,19.0,us USA,DF,23-145,90,0,0,0,0,0,0,0,0,0,1,,0,,,,,
Julia Roberts,13.0,us USA,MF,22-157,55,0,0,0,0,0,0,0,0,1,0,,0,,,,,
Tiffany McCarty,14.0,us USA,FW,22-212,35,0,0,0,0,0,0,0,0,1,0,,0,,,,,
Kika Toulouse,3.0,us USA,DF,24-072,90,0,0,0,0,0,0,0,0,1,1,,0,,,,,
14 Players,,,,,990,1,0,1,1,11,6,0,0,7,4,,0,,,,,
