Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Christine Sinclair,12.0,ca CAN,FW,33-314,90,0,0,0,0,,,0,0,,,,,,,0,,
Mallory Weber,26.0,us USA,FW,23-018,64,0,0,0,0,,,0,0,,,,,,,0,,
Hayley Raso,21.0,au AUS,"FW,MF",22-229,26,0,0,0,0,,,0,0,,,,,,,0,,
Nadia Nadim,9.0,dk DEN,FW,29-110,90,0,0,0,0,,,0,0,,,,,,,0,,
Lindsey Heaps,7.0,us USA,CM,22-331,76,0,0,0,0,,,0,0,,,,,,,0,,
Meleana Shim,6.0,us USA,MF,25-209,14,0,0,0,0,,,0,0,,,,,,,0,,
Allie Long,10.0,us USA,CM,29-252,90,0,0,0,0,,,0,0,,,,,,,0,,
Amandine Henry,28.0,fr FRA,CM,27-206,90,0,0,0,0,,,0,0,,,,,,,0,,
Meghan Klingenberg,25.0,us USA,LB,28-263,45,0,0,0,0,,,0,0,,,,,,,0,,
Meghan Cox,27.0,us USA,DF,22-158,45,0,0,0,0,,,0,0,,,,,,,0,,
Emily Menges,4.0,us USA,CB,24-268,90,0,0,0,0,,,0,0,,,,,,,0,,
Emily Sonnett,16.0,us USA,CB,23-148,90,0,0,0,0,,,0,0,,,,,,,0,,
Celeste Boureille,30.0,us USA,RB,23-002,90,0,0,0,0,,,0,0,,,,,,,0,,
Adrianna Franch,24.0,us USA,GK,26-161,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,0,0,0,0,,,0,0,,,,,,,0,,
