Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Leigh Ann Brown,,us USA,"DF,MF",28-258,90,0,0,0,0,,,0,0,,,,,,,0,,
Yael Averbuch,,us USA,"DF,MF",28-180,90,0,0,0,0,,,0,0,,,,,,,0,,
Nicole Barnhart,,us USA,GK,33-204,90,0,0,0,0,,,0,0,,,,,,,0,,
Liz Bogus,,us USA,"FW,MF",31-067,69,1,0,0,0,,,0,0,,,,,,,0,,
Mandy Laddish,,us USA,MF,22-354,21,0,0,0,0,,,0,0,,,,,,,0,,
Jen Buczkowski,,us USA,"DF,MF",30-028,90,0,0,0,0,,,0,0,,,,,,,0,,
Shea Groom,,us USA,"FW,MF",22-059,76,1,0,0,0,,,0,0,,,,,,,0,,
Caroline Kastor,,us USA,FW,23-202,14,0,0,0,0,,,0,0,,,,,,,0,,
Sarah Hagen,,us USA,FW,25-165,90,0,1,0,0,,,0,0,,,,,,,0,,
Amy LePeilbet,,us USA,DF,33-051,90,0,0,0,0,,,0,0,,,,,,,0,,
Rebecca Moros,,us USA,"DF,FW",29-361,90,0,0,0,0,,,1,0,,,,,,,0,,
Frances Silva,,us USA,"FW,MF",22-172,90,0,0,0,0,,,0,0,,,,,,,0,,
Erika Tymrak,,us USA,"FW,MF",23-268,87,0,0,0,0,,,0,0,,,,,,,0,,
Meghan Lisenby,,us USA,DF,22-132,3,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,2,1,0,0,,,1,0,,,,,,,0,,
