Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Alex Morgan,13.0,us USA,FW,28-020,90,0,0,0,0,,,0,0,,,,,,,0,,
Chioma Ubogagu,6.0,eng ENG,AM,24-315,78,0,0,0,0,,,0,0,,,,,,,0,,
Rachel Hill,15.0,us USA,"FW,MF",22-096,12,0,1,0,0,,,0,0,,,,,,,0,,
Jasmyne Spencer,23.0,us USA,AM,26-329,45,0,0,0,0,,,0,0,,,,,,,0,,
Kristen Edmonds,12.0,us USA,"DF,MF",30-061,45,0,0,0,0,,,0,0,,,,,,,0,,
Marta,10.0,br BRA,AM,31-153,90,0,0,0,0,,,1,0,,,,,,,0,,
Alanna Kennedy,14.0,au AUS,DM,22-182,90,1,0,0,0,,,0,0,,,,,,,0,,
Dani Weatherholt,17.0,us USA,DM,23-127,78,0,0,0,0,,,0,0,,,,,,,0,,
Steph Catley,7.0,au AUS,LB,23-177,90,0,0,0,0,,,0,0,,,,,,,0,,
Toni Pressley,3.0,us USA,CB,27-153,90,0,0,0,0,,,0,0,,,,,,,0,,
Ali Krieger,11.0,us USA,CB,32-359,90,0,0,0,0,,,0,0,,,,,,,0,,
Camila,9.0,br BRA,RB,22-285,90,0,0,0,0,,,0,0,,,,,,,0,,
Aubrey Kingsbury,19.0,us USA,GK,25-244,90,0,0,0,0,,,0,0,,,,,,,0,,
Mônica,21.0,br BRA,DF,39-109,11,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,989,1,1,0,0,,,1,0,,,,,,,0,,
