Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Danielle Colaprico,24.0,us USA,MF,23-121,90,0.0,0.0,,,0.0,0.0,,,0,1,0.0,,,,,,
Vanessa DiBernardo,10.0,us USA,MF,24-112,90,0.0,1.0,,,1.0,1.0,,,1,1,0.0,,,,,,
Julie Ertz,8.0,us USA,"DF,MF",24-151,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Sofia Huerta,11.0,us USA,"DF,FW",23-265,90,1.0,0.0,,,2.0,1.0,,,0,1,0.0,,,,,,
Samantha Johnson,16.0,us USA,"DF,MF",25-086,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Casey Krueger,6.0,us USA,DF,26-012,90,0.0,0.0,,,1.0,1.0,,,0,2,0.0,,,,,,
Stephanie McCaffrey,9.0,us USA,FW,23-199,89,0.0,0.0,,,1.0,1.0,,,2,0,1.0,,,,,,
Alyssa Mautz,4.0,us USA,"FW,MF",27-037,1,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Alyssa Naeher,1.0,us USA,GK,28-137,90,,,,,,,,,0,0,,,,,,,
Christen Press,23.0,us USA,FW,27-250,90,1.0,0.0,,,7.0,3.0,,,1,0,1.0,,,,,,
Cara Walls,12.0,us USA,FW,23-080,58,0.0,0.0,,,0.0,0.0,,,1,0,2.0,,,,,,
Amanda DaCosta,13.0,pt POR,MF,26-333,31,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Katie Lind,5.0,us USA,DF,22-202,1,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Arin Wright,3.0,us USA,"DF,MF",23-254,90,0.0,0.0,,,1.0,0.0,,,1,0,0.0,,,,,,
14 Players,,,,,990,2.0,1.0,,,13.0,7.0,,,6,5,4.0,,,,,,
