Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Tobin Heath,17.0,us USA,FW,29-138,90,0,0,0,0,,,1,0,,,,,,,0,,
Hayley Raso,21.0,au AUS,FW,23-039,68,0,0,0,0,,,1,0,,,,,,,0,,
Nadia Nadim,9.0,dk DEN,"FW,MF",29-285,22,0,0,0,0,,,0,0,,,,,,,0,,
Christine Sinclair,12.0,ca CAN,CM,34-124,90,0,0,0,0,,,0,0,,,,,,,0,,
Lindsey Heaps,7.0,us USA,CM,23-141,90,1,0,0,0,,,0,0,,,,,,,0,,
Amandine Henry,28.0,fr FRA,CM,28-016,89,0,0,0,0,,,0,0,,,,,,,0,,
Allie Long,10.0,us USA,"FW,MF",30-062,1,0,0,0,0,,,0,0,,,,,,,0,,
Ashleigh Sykes,14.0,au AUS,FW,25-303,53,0,0,0,0,,,0,0,,,,,,,0,,
Dagný Brynjarsdóttir,11.0,is ISL,MF,26-065,37,0,0,0,0,,,1,0,,,,,,,0,,
Meghan Klingenberg,25.0,us USA,LB,29-073,90,0,0,0,0,,,0,0,,,,,,,0,,
Emily Menges,4.0,us USA,CB,25-078,90,0,0,0,0,,,0,0,,,,,,,0,,
Emily Sonnett,16.0,us USA,CB,23-323,90,0,1,0,0,,,0,0,,,,,,,0,,
Katherine Reynolds,2.0,us USA,RB,30-030,90,0,0,0,0,,,0,0,,,,,,,0,,
Adrianna Franch,24.0,us USA,GK,26-336,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,1,1,0,0,,,3,0,,,,,,,0,,
