Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Beverly Yanez,17.0,us USA,FW,28-306,76,1,0,0,0,,,0,0,,,,,,,0,,
Kristen McNabb,19.0,us USA,"DF,MF",23-034,14,0,0,0,0,,,0,0,,,,,,,0,,
Megan Rapinoe,15.0,us USA,FW,31-320,90,0,0,0,0,,,1,0,,,,,,,0,,
Nahomi Kawasumi,36.0,jp JPN,FW,31-240,90,0,0,0,0,,,0,0,,,,,,,0,,
Jess Fishlock,10.0,wls WAL,CM,30-127,90,0,0,0,0,,,0,0,,,,,,,0,,
Rumi Utsugi,20.0,jp JPN,CM,28-167,90,0,0,0,0,,,0,0,,,,,,,0,,
Christine Nairn,2.0,us USA,CM,26-238,63,0,0,0,0,,,0,0,,,,,,,0,,
Katie Johnson,33.0,mx MEX,"FW,MF",22-249,27,0,0,0,0,,,0,0,,,,,,,0,,
Carson Pickett,16.0,us USA,LB,23-248,90,0,0,0,0,,,0,0,,,,,,,0,,
Lauren Barnes,3.0,us USA,CB,27-355,90,0,0,0,0,,,1,0,,,,,,,0,,
Rachel Corsie,4.0,sct SCO,CB,27-277,90,0,1,0,0,,,0,0,,,,,,,0,,
Rebekah Stott,13.0,nz NZL,RB,23-338,90,0,0,0,0,,,0,0,,,,,,,0,,
Haley Kopmeyer,28.0,us USA,GK,26-327,90,0,0,0,0,,,0,0,,,,,,,0,,
13 Players,,,,,990,1,1,0,0,,,2,0,,,,,,,0,,
