Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Sydney Leroux,14.0,us USA,FW,27-147,90,0,0,0,0,,,0,0,,,,,,,0,,
Maegan Rosa,44.0,ca CAN,AM,25-224,76,1,0,0,0,,,1,0,,,,,,,0,,
Brittany Ratcliffe,25.0,us USA,"FW,MF",23-236,14,0,0,0,0,,,0,0,,,,,,,0,,
Shea Groom,2.0,us USA,AM,24-211,90,0,0,0,0,,,1,0,,,,,,,0,,
Lo'eau LaBonta,9.0,us USA,AM,24-197,81,0,0,0,0,,,0,0,,,,,,,0,,
Alexa Newfield,88.0,us USA,FW,25-302,9,0,0,0,0,,,0,0,,,,,,,0,,
Christina Gibbons,31.0,us USA,DM,22-275,90,0,0,0,0,,,0,0,,,,,,,0,,
Desiree Scott,11.0,ca CAN,DM,30-062,90,0,1,0,0,,,0,0,,,,,,,0,,
Rebecca Moros,3.0,us USA,LB,32-148,90,0,0,0,0,,,0,0,,,,,,,0,,
Yael Averbuch,10.0,us USA,CB,30-332,90,0,0,0,0,,,0,0,,,,,,,0,,
Sydney Miramontez,17.0,us USA,CB,22-355,90,0,0,0,0,,,0,0,,,,,,,0,,
Brittany Kolmel,13.0,us USA,RB,30-013,64,0,0,0,0,,,0,0,,,,,,,0,,
Katie Bowen,6.0,nz NZL,"DF,MF",23-169,26,0,0,0,0,,,0,0,,,,,,,0,,
Nicole Barnhart,18.0,us USA,GK,35-356,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,1,1,0,0,,,2,0,,,,,,,0,,
