Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Leigh Ann Brown,,us USA,"DF,MF",29-005,90,0,1,0,0,,,0,0,,,,,,,0,,
Nicole Barnhart,,us USA,GK,33-316,90,0,0,0,0,,,0,0,,,,,,,0,,
Jen Buczkowski,,us USA,"DF,MF",30-140,90,0,0,0,0,,,0,0,,,,,,,0,,
Lauren Holiday,,us USA,"FW,MF",27-326,65,1,1,0,0,,,0,0,,,,,,,0,,
Yael Averbuch,,us USA,"DF,MF",28-292,25,0,0,0,0,,,0,0,,,,,,,0,,
Mandy Laddish,,us USA,MF,23-101,70,0,0,0,0,,,0,0,,,,,,,0,,
Liz Bogus,,us USA,"FW,MF",31-179,20,0,0,0,0,,,0,0,,,,,,,0,,
Amy LePeilbet,,us USA,DF,33-163,90,0,0,0,0,,,0,0,,,,,,,0,,
Rebecca Moros,,us USA,"DF,FW",30-108,90,0,0,0,0,,,0,0,,,,,,,0,,
Heather O'Reilly,,us USA,"FW,MF",30-232,57,0,0,0,0,,,0,0,,,,,,,0,,
Frances Silva,,us USA,"FW,MF",22-284,33,0,0,0,0,,,0,0,,,,,,,0,,
Amy Rodriguez,,us USA,"FW,MF",28-186,90,2,1,0,0,,,0,0,,,,,,,0,,
Becky Sauerbrunn,,us USA,DF,30-077,90,0,0,0,0,,,0,0,,,,,,,0,,
Erika Tymrak,,us USA,"FW,MF",24-015,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,3,3,0,0,,,0,0,,,,,,,0,,
